

--------- 3 pairs --------

 Load area 50 x 50 x 50, weight capacity 150
pair count,test#,cost,solution_time,exec_time,total_branchings,path,errors,precise,cost,solution_time,exec_time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
3,1,1717700.6555009, 11.348868131638, 11.989002943039, 42,"0 3 6 2 5 1 4 0","",100, 1717700.6555009,7.9184091091156, 8.1857209205627,11,0,"0 3 6 2 5 1 4 0","","[]","6\1 141535 225023 12 50 50 60\2 15630 268601 49 33 47 67\3 95083 179438 4 31 13 47\4 434555 83271\5 196608 167618\6 64845 450084\depot 200 200"


--------- 3 pairs --------

 Load area 50 x 50 x 50, weight capacity 150
pair count,test#,cost,solution_time,exec_time,total_branchings,path,errors,precise,cost,solution_time,exec_time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
3,1,1717700.6555009, 8.7537970542908, 9.0002629756927, 42,"0 3 6 2 5 1 4 0","",25, 0,1.3487200737, 1.6013100147247,0,-1,"","","[]","6\1 141535 225023 12 50 50 60\2 15630 268601 49 33 47 67\3 95083 179438 4 31 13 47\4 434555 83271\5 196608 167618\6 64845 450084\depot 200 200"
,,,,,,,,39, 0,1.3907289505005, 1.6200590133667,0,-1,"","",,
,,,,,,,,40, 0,1.7903099060059, 2.0234799385071,0,-1,"","",,
,,,,,,,,100, 1717700.6555009,8.6077928543091, 9.5860030651093,11,0,"0 3 6 2 5 1 4 0","",,


--------- 3 pairs --------

 Load area 50 x 50 x 50, weight capacity 150
pair count,test#,cost,solution_time,exec_time,total_branchings,path,errors,precise,cost,solution_time,exec_time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
3,1,1717700.6555009, 11.276457071304, 11.659583091736, 42,"0 3 6 2 5 1 4 0","",25, 0,1.5292708873749, 1.8019971847534,0,-1,"","","[]","6\1 141535 225023 12 50 50 60\2 15630 268601 49 33 47 67\3 95083 179438 4 31 13 47\4 434555 83271\5 196608 167618\6 64845 450084\depot 200 200"
,,,,,,,,39, 0,1.6832211017609, 2.0154459476471,0,-1,"","",,
,,,,,,,,40, 0,1.8714261054993, 2.2728190422058,0,-1,"","",,
,,,,,,,,100, 1717700.6555009,8.4656550884247, 9.2252340316772,11,0,"0 3 6 2 5 1 4 0","",,
