sep =,


--------- 2 pairs --------

 Load area 50 x 50 x 50, weight capacity 100
pair count,test#,cost,time,total_branchings,path,errors,precise,cost,time,total_generated_paths,path,errors,data,pdp_points.txt
2,1,1038136.7573619, 0.24272608757019, 13,"0 2 4 1 3 0","",25, 1038136.7573619,0.15452218055725,1,"0 2 4 1 3 0","","[[207377,299887,12,50,8,97],[213039,122992,45,23,4,40],[58494,9457],[371874,114354]]","4\1 207377 299887 12 50 8 97\2 213039 122992 45 23 4 40\3 58494 9457\4 371874 114354\depot 200 200"
,,,,,,,50, 1038136.7573619,0.13015413284302,1,"0 2 4 1 3 0","",,,,,,,,,,,,,,,,,
,,,,,,,100, 1038136.7573619,0.16597199440002,2,"0 2 4 1 3 0","",,,,,,,,,,,,,,,,,
2,2,1525356.7895972, 0.28164482116699, 13,"0 2 4 1 3 0","",25, 1525356.7895972,0.16379809379578,1,"0 2 4 1 3 0","","[[317679,486911,36,34,49,44],[252332,49461,47,20,46,15],[40278,496302],[392210,247654]]","4\1 317679 486911 36 34 49 44\2 252332 49461 47 20 46 15\3 40278 496302\4 392210 247654\depot 200 200"
,,,,,,,50, 1525356.7895972,0.16474008560181,1,"0 2 4 1 3 0","",,,,,,,,,,,,,,,,,
,,,,,,,100, 1525356.7895972,0.18215417861938,4,"0 2 4 1 3 0","",,,,,,,,,,,,,,,,,
2,3,1227730.7485687, 0.31646490097046, 13,"0 1 2 4 3 0","",25, 1227730.7485687,0.17996096611023,1,"0 1 2 4 3 0","","[[296189,292371,26,28,21,9],[361843,372809,26,17,33,40],[356148,52098],[424586,173826]]","4\1 296189 292371 26 28 21 9\2 361843 372809 26 17 33 40\3 356148 52098\4 424586 173826\depot 200 200"
,,,,,,,50, 1227730.7485687,0.16317296028137,1,"0 1 2 4 3 0","",,,,,,,,,,,,,,,,,
,,,,,,,100, 1227730.7485687,0.17071080207825,6,"0 1 2 4 3 0","",,,,,,,,,,,,,,,,,
2,4,1018759.3025603, 0.39591193199158, 12,"0 1 2 4 3 0","",25, 1046765.0353747,0.13715887069702,1,"0 1 3 2 4 0","","[[39008,72871,17,46,16,80],[99580,397937,10,36,18,11],[145014,227248],[205216,441202]]","4\1 39008 72871 17 46 16 80\2 99580 397937 10 36 18 11\3 145014 227248\4 205216 441202\depot 200 200"
,,,,,,,50, 1046765.0353747,0.16667103767395,1,"0 1 3 2 4 0","",,,,,,,,,,,,,,,,,
,,,,,,,100, 1046765.0353747,0.14256978034973,4,"0 1 3 2 4 0","",,,,,,,,,,,,,,,,,
